timestamp,machine_id,synthetic,latitude_deg,longitude_deg,gnss_fix,gnss_horizontal_accuracy_m,ground_speed_kmh,heading_deg,roll_deg,pitch_deg,yaw_rate_deg_s,engine_rpm,engine_load_pct,coolant_temp_c,oil_pressure_kpa,fuel_rate_l_h,battery_voltage_v,ambient_temp_c,relative_humidity_pct,brake_pressed,pto_engaged,coolant_warning_active,inclination_warning_active
2026-09-11T10:00:00.000Z,COLH-DEMO-01,true,-22.66738640,-47.80540265,3d,1.5,6.000,90.00,5.146,0.841,0.000,1850,62.00,86.00,420.00,18.000,14.20,27.00,58.00,false,true,false,false
2026-09-11T10:00:00.100Z,COLH-DEMO-01,true,-22.66738640,-47.80540102,3d,1.5,6.000,90.00,5.152,0.849,0.000,1850,62.02,86.00,420.01,18.002,14.20,27.00,58.00,false,true,false,false
2026-09-11T10:00:00.200Z,COLH-DEMO-01,true,-22.66738640,-47.80539940,3d,1.5,6.000,90.00,5.157,0.856,0.000,1850,62.04,86.00,420.02,18.005,14.20,27.00,58.00,false,true,false,false
2026-09-11T10:00:00.300Z,COLH-DEMO-01,true,-22.66738640,-47.80539778,3d,1.5,6.000,90.00,5.163,0.864,0.000,1851,62.06,86.00,420.03,18.007,14.20,27.00,58.00,false,true,false,false
2026-09-11T10:00:00.400Z,COLH-DEMO-01,true,-22.66738640,-47.80539616,3d,1.5,6.000,90.00,4.882,0.871,0.000,1851,62.08,86.00,420.04,18.009,14.20,27.00,58.00,false,true,false,false
2026-09-11T10:00:00.500Z,COLH-DEMO-01,true,-22.66738640,-47.80539453,3d,1.5,6.000,90.00,5.174,0.877,0.000,1851,62.10,86.01,420.05,18.012,14.20,27.00,58.01,false,true,false,false
2026-09-11T10:00:00.600Z,COLH-DEMO-01,true,-22.66738640,-47.80539291,3d,1.5,6.000,90.00,5.180,0.884,0.000,1851,62.11,86.01,420.06,18.014,14.20,27.00,58.01,false,true,false,false
2026-09-11T10:00:00.700Z,COLH-DEMO-01,true,-22.66738640,-47.80539129,3d,1.5,6.000,90.00,5.186,0.891,0.000,1852,62.13,86.01,420.07,18.016,14.20,27.00,58.01,false,true,false,false
2026-09-11T10:00:00.800Z,COLH-DEMO-01,true,-22.66738640,-47.80538967,3d,1.5,6.000,90.00,5.191,0.897,0.000,1852,62.15,86.01,420.08,18.018,14.20,27.00,58.01,false,true,false,false
2026-09-11T10:00:00.900Z,COLH-DEMO-01,true,-22.66738640,-47.80538804,3d,1.5,6.000,90.00,4.910,0.903,0.000,1852,62.17,86.01,420.09,18.021,14.20,27.00,58.01,false,true,false,false
2026-09-11T10:00:01.000Z,COLH-DEMO-01,true,-22.66738640,-47.80538642,3d,1.5,6.000,90.00,5.202,0.909,0.000,1852,62.19,86.01,420.10,18.023,14.20,27.00,58.01,false,true,false,false
2026-09-11T10:00:01.100Z,COLH-DEMO-01,true,-22.66738640,-47.80538480,3d,1.5,6.000,90.00,5.208,0.915,0.000,1853,62.21,86.01,420.11,18.025,14.20,27.00,58.01,false,true,false,false
2026-09-11T10:00:01.200Z,COLH-DEMO-01,true,-22.66738640,-47.80538318,3d,1.5,6.000,90.00,5.213,0.920,0.000,1853,62.23,86.01,420.12,18.028,14.20,27.00,58.01,false,true,false,false
2026-09-11T10:00:01.300Z,COLH-DEMO-01,true,-22.66738640,-47.80538155,3d,1.5,6.000,90.00,5.219,0.926,0.000,1853,62.25,86.02,420.13,18.030,14.20,27.00,58.01,false,true,false,false
2026-09-11T10:00:01.400Z,COLH-DEMO-01,true,-22.66738640,-47.80537993,3d,1.5,6.000,90.00,5.224,0.931,0.000,1853,62.27,86.02,420.14,18.032,14.20,27.00,58.02,false,true,false,false
