timestamp,machine_id,synthetic,latitude_deg,longitude_deg,gnss_fix,gnss_horizontal_accuracy_m,ground_speed_kmh,heading_deg,roll_deg,pitch_deg,yaw_rate_deg_s,engine_rpm,engine_load_pct,coolant_temp_c,oil_pressure_kpa,fuel_rate_l_h,battery_voltage_v,ambient_temp_c,relative_humidity_pct,brake_pressed,pto_engaged,coolant_warning_active
2026-09-11T09:00:00.000Z,COLH-DEMO-01,true,-22.66675758,-47.80647354,3d,1.5,6.000,90.00,0.000,1.010,0.000,1850,62.00,86.00,420.00,18.000,14.20,27.00,58.00,false,true,false
2026-09-11T09:00:00.100Z,COLH-DEMO-01,true,-22.66675908,-47.80647354,3d,1.5,6.000,180.00,0.034,1.019,0.000,1850,62.02,86.00,420.01,18.002,14.20,27.00,58.00,false,true,false
2026-09-11T09:00:00.200Z,COLH-DEMO-01,true,-22.66676058,-47.80647354,3d,1.5,6.000,180.00,0.068,1.028,0.000,1850,62.04,86.00,420.02,18.005,14.20,27.00,58.00,false,true,false
2026-09-11T09:00:00.300Z,COLH-DEMO-01,true,-22.66676207,-47.80647354,3d,1.5,6.000,180.00,0.102,1.036,0.000,1851,62.06,86.00,420.03,18.007,14.20,27.00,58.00,false,true,false
2026-09-11T09:00:00.400Z,COLH-DEMO-01,true,-22.66676357,-47.80647354,3d,1.5,6.000,180.00,0.136,1.045,0.000,1851,62.08,86.00,420.04,18.009,14.20,27.00,58.00,false,true,false
2026-09-11T09:00:00.500Z,COLH-DEMO-01,true,-22.66676507,-47.80647354,3d,1.5,6.000,180.00,0.170,1.053,0.000,1851,62.10,86.01,420.05,18.012,14.20,27.00,58.01,false,true,false
2026-09-11T09:00:00.600Z,COLH-DEMO-01,true,-22.66676656,-47.80647354,3d,1.5,6.000,180.00,0.203,1.061,0.000,1851,62.11,86.01,420.06,18.014,14.20,27.00,58.01,false,true,false
2026-09-11T09:00:00.700Z,COLH-DEMO-01,true,-22.66676806,-47.80647354,3d,1.5,6.000,180.00,0.237,1.069,0.000,1852,62.13,86.01,420.07,18.016,14.20,27.00,58.01,false,true,false
2026-09-11T09:00:00.800Z,COLH-DEMO-01,true,-22.66676956,-47.80647354,3d,1.5,6.000,180.00,0.271,1.076,0.000,1852,62.15,86.01,420.08,18.018,14.20,27.00,58.01,false,true,false
2026-09-11T09:00:00.900Z,COLH-DEMO-01,true,-22.66677106,-47.80647354,3d,1.5,6.000,180.00,0.304,1.084,0.000,1852,62.17,86.01,420.09,18.021,14.20,27.00,58.01,false,true,false
2026-09-11T09:00:01.000Z,COLH-DEMO-01,true,-22.66677255,-47.80647354,3d,1.5,6.000,180.00,0.338,1.091,0.000,1852,62.19,86.01,420.10,18.023,14.20,27.00,58.01,false,true,false
2026-09-11T09:00:01.100Z,COLH-DEMO-01,true,-22.66677405,-47.80647354,3d,1.5,6.000,180.00,0.371,1.098,0.000,1853,62.21,86.01,420.11,18.025,14.20,27.00,58.01,false,true,false
2026-09-11T09:00:01.200Z,COLH-DEMO-01,true,-22.66677555,-47.80647354,3d,1.5,6.000,180.00,0.404,1.104,0.000,1853,62.23,86.01,420.12,18.028,14.20,27.00,58.01,false,true,false
2026-09-11T09:00:01.300Z,COLH-DEMO-01,true,-22.66677704,-47.80647354,3d,1.5,6.000,180.00,0.437,1.111,0.000,1853,62.25,86.02,420.13,18.030,14.20,27.00,58.01,false,true,false
2026-09-11T09:00:01.400Z,COLH-DEMO-01,true,-22.66677854,-47.80647354,3d,1.5,6.000,180.00,0.470,1.117,0.000,1853,62.27,86.02,420.14,18.032,14.20,27.00,58.02,false,true,false
2026-09-11T09:00:01.500Z,COLH-DEMO-01,true,-22.66678004,-47.80647354,3d,1.5,6.000,180.00,0.503,1.123,0.000,1853,62.29,86.02,420.15,18.035,14.20,27.00,58.02,false,true,false
2026-09-11T09:00:01.600Z,COLH-DEMO-01,true,-22.66678154,-47.80647354,3d,1.5,6.000,180.00,0.535,1.129,0.000,1854,62.30,86.02,420.16,18.037,14.20,27.01,58.02,false,true,false
2026-09-11T09:00:01.700Z,COLH-DEMO-01,true,-22.66678303,-47.80647354,3d,1.5,6.000,180.00,0.568,1.135,0.000,1854,62.32,86.02,420.17,18.039,14.20,27.01,58.02,false,true,false
2026-09-11T09:00:01.800Z,COLH-DEMO-01,true,-22.66678453,-47.80647354,3d,1.5,6.000,180.00,0.600,1.140,0.000,1854,62.34,86.02,420.18,18.042,14.20,27.01,58.02,false,true,false
2026-09-11T09:00:01.900Z,COLH-DEMO-01,true,-22.66678603,-47.80647354,3d,1.5,6.000,180.00,0.632,1.145,0.000,1854,62.36,86.02,420.19,18.044,14.20,27.01,58.02,false,true,false
2026-09-11T09:00:02.000Z,COLH-DEMO-01,true,-22.66678753,-47.80647354,3d,1.5,6.000,180.00,0.663,1.150,0.000,1855,62.38,86.02,420.20,18.046,14.20,27.01,58.02,false,true,false
2026-09-11T09:00:02.100Z,COLH-DEMO-01,true,-22.66678902,-47.80647354,3d,1.5,6.000,180.00,0.695,1.155,0.000,1855,62.40,86.03,420.21,18.048,14.20,27.01,58.02,false,true,false
