timestamp,machine_id,synthetic,latitude_deg,longitude_deg,gnss_fix,gnss_horizontal_accuracy_m,ground_speed_kmh,heading_deg,roll_deg,pitch_deg,yaw_rate_deg_s,engine_rpm,engine_load_pct,coolant_temp_c,oil_pressure_kpa,fuel_rate_l_h,battery_voltage_v,ambient_temp_c,relative_humidity_pct,brake_pressed,pto_engaged,coolant_warning_active
2026-09-09T13:00:00.000Z,TRATOR-DEMO-001,true,-22.7,-47.65097374,3d,0.8,4.524,180.0,0.0,0.0,-2.0,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T13:00:00.100Z,TRATOR-DEMO-001,true,-22.70000113,-47.65097374,3d,0.8,4.524,179.8,0.011,0.006,-2.0,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T13:00:00.200Z,TRATOR-DEMO-001,true,-22.70000226,-47.65097373,3d,0.8,4.524,179.6,0.022,0.011,-1.9999,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T13:00:00.300Z,TRATOR-DEMO-001,true,-22.70000339,-47.65097372,3d,0.8,4.524,179.4,0.033,0.017,-1.9999,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T13:00:00.400Z,TRATOR-DEMO-001,true,-22.70000452,-47.65097371,3d,0.8,4.524,179.2,0.044,0.022,-1.9998,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T13:00:00.500Z,TRATOR-DEMO-001,true,-22.70000564,-47.65097369,3d,0.8,4.524,179.0,0.056,0.028,-1.9996,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T13:00:00.600Z,TRATOR-DEMO-001,true,-22.70000677,-47.65097367,3d,0.8,4.525,178.8,0.067,0.033,-1.9994,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T13:00:00.700Z,TRATOR-DEMO-001,true,-22.7000079,-47.65097364,3d,0.8,4.525,178.6,0.078,0.039,-1.9992,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T13:00:00.800Z,TRATOR-DEMO-001,true,-22.70000903,-47.65097361,3d,0.8,4.525,178.4,0.089,0.044,-1.999,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T13:00:00.900Z,TRATOR-DEMO-001,true,-22.70001016,-47.65097357,3d,0.8,4.525,178.2,0.1,0.05,-1.9987,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
