timestamp,machine_id,synthetic,latitude_deg,longitude_deg,gnss_fix,gnss_horizontal_accuracy_m,ground_speed_kmh,heading_deg,roll_deg,pitch_deg,yaw_rate_deg_s,engine_rpm,engine_load_pct,coolant_temp_c,oil_pressure_kpa,fuel_rate_l_h,battery_voltage_v,ambient_temp_c,relative_humidity_pct,brake_pressed,pto_engaged,coolant_warning_active
2026-09-09T14:00:00.000Z,TRATOR-DEMO-001,true,-22.7,-47.65068162,3d,0.8,4.524,180.0,0.0,0.0,-1.4,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T14:00:00.100Z,TRATOR-DEMO-001,true,-22.70000113,-47.65068162,3d,0.8,4.524,179.86,0.011,0.006,-1.4,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T14:00:00.200Z,TRATOR-DEMO-001,true,-22.70000226,-47.65068161,3d,0.8,4.524,179.72,0.022,0.011,-1.4,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T14:00:00.300Z,TRATOR-DEMO-001,true,-22.70000339,-47.65068161,3d,0.8,4.524,179.58,0.033,0.017,-1.4,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T14:00:00.400Z,TRATOR-DEMO-001,true,-22.70000452,-47.6506816,3d,0.8,4.524,179.44,0.044,0.022,-1.4,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T14:00:00.500Z,TRATOR-DEMO-001,true,-22.70000564,-47.65068158,3d,0.8,4.524,179.3,0.056,0.028,-1.3999,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T14:00:00.600Z,TRATOR-DEMO-001,true,-22.70000677,-47.65068157,3d,0.8,4.524,179.16,0.067,0.033,-1.3999,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T14:00:00.700Z,TRATOR-DEMO-001,true,-22.7000079,-47.65068155,3d,0.8,4.524,179.02,0.078,0.039,-1.3999,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T14:00:00.800Z,TRATOR-DEMO-001,true,-22.70000903,-47.65068152,3d,0.8,4.524,178.88,0.089,0.044,-1.3999,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
2026-09-09T14:00:00.900Z,TRATOR-DEMO-001,true,-22.70001016,-47.6506815,3d,0.8,4.524,178.74,0.1,0.05,-1.3998,1750,58.0,84.0,410.0,13.0,14.1,29.0,63.0,false,false,false
